timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820064,node,sendmsg,4,64.75,82,68,82,82,259,2140,0,0.0000
1768820064,node,epoll_wait,156,68819.34,1001033,690,198705,1001028,10735817,0,0,0.0000
1768820064,node,select,6,471504.17,1000955,618622,1000955,1000955,2829025,0,0,0.0000
1768820064,node,io_qdepth,30,0.00,0,0,0,0,0,620,0,0.0000
1768820064,node,block_io,26,144.00,267,123,252,267,3744,241664,0,0.0000
1768820064,node,fdatasync,7,486.71,1094,435,1094,1094,3407,0,0,0.0000
1768820064,node,poll,235,46553.43,4001087,1,41,1001070,10940055,0,0,0.0000
1768820064,node,read,10,487.60,1215,642,1215,1215,4876,456,0,0.0000
1768820064,node,pselect6,1,1001062.00,1001062,1001062,1001062,1001062,1001062,0,0,0.0000
1768820064,node,fsync,2,763.50,868,868,868,868,1527,0,0,0.0000
1768820064,node,sendto,2,60.50,64,64,64,64,121,40,0,0.0000
1768820064,node,recvmsg,1,59.00,59,59,59,59,59,8160,0,0.0000
1768820065,node,sched_lat,8510,20.96,8916,6,18,56,178406,0,0,0.0000
1768820065,node,epoll_pwait,1302,3065.30,1000027,0,11076,27079,3991016,0,0,0.0000
1768820065,node,read,9,4412.56,26779,1570,26779,26779,39713,21224,0,0.0000
1768820065,node,futex,411,44213.07,9902124,0,100079,999981,18171570,0,147,0.3577
1768820065,node,softirq,2725,4.22,198,0,17,58,11506,12704,0,0.0000
1768820065,node,recvmsg,2,74.00,81,81,81,81,148,4084,0,0.0000
1768820065,node,nanosleep,345,39755.45,4000085,10052,10097,1000091,13715631,0,0,0.0000
1768820065,node,connect,4,76.25,115,67,115,115,305,0,4,1.0000
1768820065,node,dstate_io,46,897.48,26706,122,648,26706,41284,0,0,0.0000
1768820065,node,runqlen,63,0.00,0,0,0,0,0,431600,0,0.0000
1768820065,node,epoll_wait,192,110071.03,5019336,361,180210,5015216,21133637,0,1,0.0052
1768820065,node,select,17,117024.12,1001025,1,1001025,1001025,1989410,0,0,0.0000
1768820065,node,io_qdepth,52,0.00,0,0,0,0,0,1367,0,0.0000
1768820065,node,block_io,45,832.84,26709,102,313,26709,37478,442368,0,0.0000
1768820065,node,sendmsg,1,78.00,78,78,78,78,78,323,0,0.0000
1768820065,node,poll,2679,4228.15,3996250,1,1,21,11327209,0,0,0.0000
